question,option1,option2,option3,option4,correctAnswer
What is 2 + 2?,1,2,3,4,4
What is the capital of France?,Paris,London,Berlin,Madrid,Paris
What is 3 * 3?,6,9,12,15,9
What is the boiling point of water?,90°C,100°C,110°C,120°C,100°C
What is the smallest prime number?,1,2,3,5,2
What is 5 + 7?,10,11,12,13,12
What is the largest planet in our solar system?,Earth,Mars,Jupiter,Saturn,Jupiter
What is the chemical symbol for water?,H2O,CO2,O2,H2,H2O
What is the capital of Japan?,Beijing,Seoul,Tokyo,Hanoi,Tokyo
What is the smallest continent by land area?,Africa,Antarctica,Australia,Europe,Australia
What is the longest river in the world?,Amazon,Nile,Yangtze,Mississippi,Nile
What is the main ingredient in guacamole?,Tomato,Avocado,Onion,Garlic,Avocado
What is the fastest land animal?,Cheetah,Lion,Tiger,Elephant,Cheetah
What is the hardest natural substance on Earth?,Gold,Diamond,Iron,Platinum,Diamond
What is the speed of light?,300,000 km/s,150,000 km/s,100,000 km/s,200,000 km/s,300,000 km/s
What is the primary language spoken in Brazil?,Spanish,Portuguese,French,English,Portuguese
What is the currency of Japan?,Yuan,Yen,Won,Euro,Yen
What planet is known as the Red Planet?,Venus,Earth,Mars,Jupiter,Mars
What is the largest ocean on Earth?,Atlantic Ocean,Indian Ocean,Arctic Ocean,Pacific Ocean,Pacific Ocean
What element does 'O' represent on the periodic table?,Oxygen,Gold,Silver,Iron,Oxygen
